Tree Species,Common Name,Diameter at Breast Height (in Feet),Number of Trunks,Location Type,Location
Quercus bicolor,"oak, swamp white",7,1,Street,"(40.12452888610, -88.29996820150)"
vacant site large,"vacant site, large",0,0,Street,"(40.12598922450, -88.30698878940)"
Quercus bicolor,"oak, swamp white",2,1,Street,"(40.12661796260, -88.29828704300)"
Pyrus calleryana,"pear, Callery",11,1,Street,"(40.12453771720, -88.30022680950)"
Pyrus calleryana,"pear, Callery",8,1,Street,"(40.12454066060, -88.30034467120)"
Pyrus calleryana,"pear, Callery",9,1,Street,"(40.12453779670, -88.30050630530)"
Acer rubrum,"maple, red",10,1,Street,"(40.12442372990, -88.29980855150)"
Acer platanoides,"maple, Norway",11,1,Street,"(40.12441479980, -88.29921534350)"
Ginkgo biloba,ginkgo,7,1,Street,"(40.12440438950, -88.29854797150)"
Ginkgo biloba,ginkgo,6,1,Street,"(40.12439538300, -88.29772658340)"
vacant site large,"vacant site, large",0,0,Street,"(40.12575738870, -88.30693688370)"
vacant site large,"vacant site, large",0,0,Street,"(40.12413386420, -88.30711248160)"
Quercus macrocarpa,"oak, bur",3,1,Street,"(40.12655561920, -88.29809940390)"
Pyrus calleryana,"pear, Callery",11,1,Street,"(40.12442523040, -88.29996635690)"
Gleditsia triacanthos inermis,"honeylocust, thornless",4,1,Street,"(40.11735086330, -88.29564098210)"
Acer saccharum,"maple, sugar",15,1,Street,"(40.11702731970, -88.29562496340)"
vacant site large,"vacant site, large",0,0,Street,"(40.12408015430, -88.30728650650)"
vacant site large,"vacant site, large",0,0,Street,"(40.12455156380, -88.30762232240)"
vacant site large,"vacant site, large",0,0,Street,"(40.12644620690, -88.30799562710)"
vacant site large,"vacant site, large",0,0,Street,"(40.12657055880, -88.30798957320)"
vacant site large,"vacant site, large",0,0,Street,"(40.12669183880, -88.30799553590)"
Quercus macrocarpa,"oak, bur",2,1,Street,"(40.12651858670, -88.29800558750)"
Acer x freemanii,"maple, Freeman",6,1,Street,"(40.11689456280, -88.29561423860)"
Gleditsia triacanthos inermis,"honeylocust, thornless",5,1,Street,"(40.11669960700, -88.29561974540)"
Picea pungens,"spruce, Colorado",15,2,Street,"(40.11660007290, -88.29563059850)"
Gleditsia triacanthos inermis,"honeylocust, thornless",10,1,Street,"(40.11650465120, -88.29562525210)"
Quercus palustris,"oak, pin",32,1,Street,"(40.11625992490, -88.29562538730)"
Malus spp.,"crabapple, flowering",8,1,Street,"(40.11485031240, -88.29454724200)"
Malus spp.,"crabapple, flowering",7,1,Street,"(40.11486250620, -88.29464566690)"
Malus spp.,"crabapple, flowering",7,1,Street,"(40.11489623840, -88.29471243700)"
Malus spp.,"crabapple, flowering",7,1,Street,"(40.11490301710, -88.29478976990)"
Malus spp.,"crabapple, flowering",6,1,Street,"(40.11494084470, -88.29487234120)"
Malus spp.,"crabapple, flowering",5,1,Street,"(40.11495706250, -88.29493736940)"
Betula nigra,"birch, river",12,1,Street,"(40.11756082790, -88.29519517020)"
Betula nigra,"birch, river",9,1,Street,"(40.11755809130, -88.29505454420)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.11747980500, -88.29498429230)"
vacant site large,"vacant site, large",0,0,Street,"(40.12578909240, -88.30803384830)"
vacant site large,"vacant site, large",0,0,Street,"(40.12478209700, -88.30875724440)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.11748891150, -88.29398065900)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.11749413340, -88.29351665360)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.11749540150, -88.29329342960)"
Betula nigra,"birch, river",16,1,Street,"(40.11757771450, -88.29325648140)"
Betula nigra,"birch, river",12,1,Street,"(40.11757900660, -88.29310355310)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.11750644830, -88.29207450930)"
Malus spp.,"crabapple, flowering",4,1,Street,"(40.11768462680, -88.29046960730)"
vacant site large,"vacant site, large",0,0,Street,"(40.12595513300, -88.30900882410)"
vacant site large,"vacant site, large",0,0,Street,"(40.12705890750, -88.30860040030)"
vacant site large,"vacant site, large",0,0,Street,"(40.12785790780, -88.30839401900)"
vacant site large,"vacant site, large",0,0,Street,"(40.12786052660, -88.30857296700)"
vacant site large,"vacant site, large",0,0,Street,"(40.12786058470, -88.30884646860)"
vacant site large,"vacant site, large",0,0,Street,"(40.12786842060, -88.30903553520)"
vacant site large,"vacant site, large",0,0,Street,"(40.12786585090, -88.30921788240)"
vacant site large,"vacant site, large",0,0,Street,"(40.12787107630, -88.30939682950)"
vacant site large,"vacant site, large",0,0,Street,"(40.12786853270, -88.30957577940)"
vacant site large,"vacant site, large",0,0,Street,"(40.12787892310, -88.30977836300)"
vacant site large,"vacant site, large",0,0,Street,"(40.12787638040, -88.30996407170)"
vacant site large,"vacant site, large",0,0,Street,"(40.12788160390, -88.31013965740)"
Acer rubrum,"maple, red",3,1,Street,"(40.12640739360, -88.29768322910)"
Acer rubrum,"maple, red",3,1,Street,"(40.12633202520, -88.29745604700)"
Acer rubrum,"maple, red",3,1,Street,"(40.12627479540, -88.29729715800)"
Gleditsia triacanthos inermis,"honeylocust, thornless",19,1,Street,"(40.12238703780, -88.29531154880)"
Gleditsia triacanthos inermis,"honeylocust, thornless",13,1,Street,"(40.12238847950, -88.29518782430)"
Gleditsia triacanthos inermis,"honeylocust, thornless",14,1,Street,"(40.12239140460, -88.29506792500)"
Quercus bicolor,"oak, swamp white",12,1,Street,"(40.12214716960, -88.29489309710)"
vacant site large,"vacant site, large",0,0,Street,"(40.12788035310, -88.31033716700)"
vacant site large,"vacant site, large",0,0,Street,"(40.12788038650, -88.31050599560)"
vacant site large,"vacant site, large",0,0,Street,"(40.12788042030, -88.31067822150)"
vacant site large,"vacant site, large",0,0,Street,"(40.12788045580, -88.31086053200)"
Quercus bicolor,"oak, swamp white",13,1,Street,"(40.12205367140, -88.29489314970)"
Acer platanoides,"maple, Norway",15,1,Street,"(40.12198240780, -88.29489122320)"
Acer platanoides,"maple, Norway",13,1,Street,"(40.12177163800, -88.29488941090)"
Acer platanoides,"maple, Norway",9,1,Street,"(40.12158460430, -88.29486051660)"
Acer platanoides,"maple, Norway",9,1,Street,"(40.12148513700, -88.29482384940)"
Acer platanoides,"maple, Norway",10,1,Street,"(40.12133816700, -88.29475045010)"
Acer platanoides,"maple, Norway",9,1,Street,"(40.12124906970, -88.29469443230)"
Acer platanoides,"maple, Norway",9,1,Street,"(40.12116740310, -88.29461327290)"
Acer platanoides,"maple, Norway",7,1,Street,"(40.12105011300, -88.29447413500)"
Acer platanoides,"maple, Norway",4,1,Street,"(40.12096692480, -88.29435814900)"
Acer platanoides,"maple, Norway",8,1,Street,"(40.12088824170, -88.29425185110)"
Quercus bicolor,"oak, swamp white",13,1,Street,"(40.12078277670, -88.29409529370)"
Quercus bicolor,"oak, swamp white",14,1,Street,"(40.12067138380, -88.29386336360)"
Acer platanoides,"maple, Norway",11,1,Street,"(40.12061342220, -88.29366615940)"
Acer platanoides,"maple, Norway",13,1,Street,"(40.12057176820, -88.29339550030)"
Betula nigra,"birch, river",18,1,Street,"(40.11729908650, -88.26673217320)"
Acer platanoides,"maple, Norway",12,1,Street,"(40.12056724830, -88.29318474900)"
Fraxinus pennsylvanica,"ash, green",13,1,Street,"(40.12056718380, -88.29299913260)"
Fraxinus pennsylvanica,"ash, green",10,1,Street,"(40.12056118960, -88.29281351970)"
Fraxinus pennsylvanica,"ash, green",22,1,Street,"(40.12056111500, -88.29260083490)"
Acer platanoides,"maple, Norway",19,1,Street,"(40.12055952610, -88.29237656570)"
Acer platanoides,"maple, Norway",13,1,Street,"(40.12055206160, -88.29222767660)"
Acer platanoides,"maple, Norway",11,1,Street,"(40.12055346620, -88.29200919830)"
Acer platanoides,"maple, Norway",12,1,Street,"(40.12055637700, -88.29185837200)"
Acer platanoides,"maple, Norway",12,1,Street,"(40.12055185630, -88.29165341360)"
Acer platanoides,"maple, Norway",10,1,Street,"(40.12054881840, -88.29145042090)"
Acer platanoides,"maple, Norway",14,1,Street,"(40.12054577510, -88.29123384050)"
Acer platanoides,"maple, Norway",9,1,Street,"(40.12052044680, -88.29095738040)"
Acer platanoides,"maple, Norway",12,1,Street,"(40.12050629090, -88.29083170210)"
Fraxinus pennsylvanica,"ash, green",10,1,Street,"(40.12048399400, -88.29073892580)"
Fraxinus pennsylvanica,"ash, green",14,1,Street,"(40.12046167630, -88.29059004630)"
Fraxinus pennsylvanica,"ash, green",11,1,Street,"(40.12042597120, -88.29039093630)"
Fraxinus pennsylvanica,"ash, green",14,1,Street,"(40.12039920240, -88.29023240530)"
Quercus rubra,"oak, northern red",12,1,Street,"(40.11972176030, -88.28876915930)"
Quercus rubra,"oak, northern red",14,1,Street,"(40.11968309480, -88.28858939880)"
Quercus bicolor,"oak, swamp white",14,1,Street,"(40.11964146880, -88.28842119000)"
Quercus bicolor,"oak, swamp white",10,1,Street,"(40.11959983280, -88.28822788010)"
vacant site large,"vacant site, large",0,0,Street,"(40.12788307210, -88.31104623910)"
Acer rubrum,"maple, red",3,1,Street,"(40.12622898340, -88.29713329260)"
Acer rubrum,"maple, red",3,1,Street,"(40.12620032570, -88.29696194440)"
vacant site large,"vacant site, large",0,0,Street,"(40.12788310580, -88.31122182650)"
vacant site large,"vacant site, large",0,0,Street,"(40.12788314040, -88.31140413710)"
vacant site large,"vacant site, large",0,0,Street,"(40.12789356590, -88.31166415350)"
vacant site large,"vacant site, large",0,0,Street,"(40.12789099070, -88.31183970610)"
Acer rubrum,"maple, red",3,1,Street,"(40.12617922590, -88.29647279040)"
Acer rubrum,"maple, red",3,1,Street,"(40.12617916890, -88.29629398890)"
Acer rubrum,"maple, red",3,1,Street,"(40.12618484770, -88.29619714690)"
Acer rubrum,"maple, red",3,1,Street,"(40.12618100490, -88.29611271890)"
Ginkgo biloba,ginkgo,12,1,Street,"(40.12217005150, -88.28643959450)"
Ginkgo biloba,ginkgo,13,1,Street,"(40.12225766180, -88.28654198170)"
Ginkgo biloba,ginkgo,10,1,Street,"(40.12233044760, -88.28664248410)"
Ginkgo biloba,ginkgo,11,1,Street,"(40.12241064750, -88.28674877450)"
Ginkgo biloba,ginkgo,10,1,Street,"(40.12248488500, -88.28684155260)"
Ginkgo biloba,ginkgo,11,1,Street,"(40.12256360230, -88.28694784450)"
Quercus macrocarpa,"oak, bur",15,1,Street,"(40.12264083330, -88.28704444710)"
Quercus macrocarpa,"oak, bur",16,1,Street,"(40.12271507440, -88.28714688060)"
Quercus macrocarpa,"oak, bur",12,1,Street,"(40.12279379070, -88.28725124220)"
Quercus bicolor,"oak, swamp white",14,1,Street,"(40.12234684060, -88.28685902510)"
Quercus bicolor,"oak, swamp white",7,1,Street,"(40.12214485830, -88.28659233500)"
Quercus bicolor,"oak, swamp white",13,1,Street,"(40.12176924270, -88.28638183470)"
vacant site large,"vacant site, large",0,0,Street,"(40.12788844530, -88.31202881210)"
vacant site large,"vacant site, large",0,0,Street,"(40.12790143620, -88.31221451600)"
Acer platanoides,"maple, Norway",18,1,Street,"(40.13933310330, -88.24514787490)"
Fraxinus pennsylvanica,"ash, green",18,1,Street,"(40.15549968900, -88.26867823690)"
Acer platanoides,"maple, Norway",9,1,Street,"(40.12026599480, -88.28740763440)"
Tilia americana,"linden, American",5,1,Street,"(40.11983123130, -88.28777143240)"
Tilia americana,"linden, American",7,1,Street,"(40.11974069990, -88.28784690420)"
Quercus bicolor,"oak, swamp white",17,1,Street,"(40.12166223010, -88.28865064210)"
Acer rubrum,"maple, red",12,1,Street,"(40.12179901610, -88.28864383010)"
Tilia americana,"linden, American",13,1,Street,"(40.12189403110, -88.28851943710)"
vacant site large,"vacant site, large",0,0,Street,"(40.12789369880, -88.31238670860)"
Acer rubrum,"maple, red",3,1,Street,"(40.12617908280, -88.29602578670)"
Quercus bicolor,"oak, swamp white",12,1,Street,"(40.12189511530, -88.28834218370)"
Fraxinus americana,"ash, white",14,1,Street,"(40.12214751190, -88.28865586700)"
Fraxinus americana,"ash, white",17,1,Street,"(40.12228018220, -88.28865431400)"
Quercus bicolor,"oak, swamp white",12,1,Street,"(40.12245820230, -88.28865419750)"
Quercus bicolor,"oak, swamp white",12,1,Street,"(40.12256591960, -88.28865266090)"
Quercus bicolor,"oak, swamp white",7,1,Street,"(40.12248463710, -88.28879542570)"
Quercus bicolor,"oak, swamp white",11,1,Street,"(40.12235869040, -88.28879211090)"
vacant site large,"vacant site, large",0,0,Street,"(40.12788597950, -88.31281552350)"
Acer platanoides,"maple, Norway",12,1,Street,"(40.12123531480, -88.28923284260)"
vacant site large,"vacant site, large",0,0,Street,"(40.12788601100, -88.31299447250)"
vacant site large,"vacant site, large",0,0,Street,"(40.12788864900, -88.31316666190)"
vacant site large,"vacant site, large",0,0,Street,"(40.12789902970, -88.31334900530)"
vacant site large,"vacant site, large",0,0,Street,"(40.12790685300, -88.31350771120)"
vacant site large,"vacant site, large",0,0,Street,"(40.12790169930, -88.31371030000)"
vacant site large,"vacant site, large",0,0,Street,"(40.12790431100, -88.31389600720)"
vacant site large,"vacant site, large",0,0,Street,"(40.12790175820, -88.31406143920)"
Fraxinus pennsylvanica,"ash, green",17,1,Street,"(40.12054842980, -88.29046355390)"
Fraxinus pennsylvanica,"ash, green",11,1,Street,"(40.12068355560, -88.29056938260)"
Fraxinus pennsylvanica,"ash, green",16,1,Street,"(40.12080949100, -88.29054198490)"
Fraxinus pennsylvanica,"ash, green",17,1,Street,"(40.12111778710, -88.29059818150)"
Fraxinus pennsylvanica,"ash, green",19,1,Street,"(40.12135784940, -88.29068002380)"
Ginkgo biloba,ginkgo,12,1,Street,"(40.12146152030, -88.29072268960)"
vacant site large,"vacant site, large",0,0,Street,"(40.12790697780, -88.31425050730)"
vacant site large,"vacant site, large",0,0,Street,"(40.12823798040, -88.29755360330)"
Acer rubrum,"maple, red",14,1,Street,"(40.12162026170, -88.29077554800)"
Prunus spp.,"cherry/plum, spp.",12,4,Street,"(40.12157569950, -88.29090033500)"
Malus pumila,"apple, common",5,1,Street,"(40.12151667220, -88.29087984670)"
Malus spp.,"crabapple, flowering",13,1,Street,"(40.12145893580, -88.29086110980)"
Liquidambar styraciflua,"sweetgum, American",16,1,Street,"(40.12127262980, -88.29079800600)"
Fraxinus americana,"ash, white",12,1,Street,"(40.12116898760, -88.29075877290)"
Acer platanoides,"maple, Norway",10,1,Street,"(40.12094465860, -88.29068714740)"
Acer platanoides,"maple, Norway",9,1,Street,"(40.12081086160, -88.29068551470)"
Acer rubrum,"maple, red",10,1,Street,"(40.12067181210, -88.29073344500)"
Acer saccharum,"maple, sugar",8,1,Street,"(40.12279527110, -88.28808173310)"
Acer saccharinum,"maple, silver",27,1,Street,"(40.12279335000, -88.28836476310)"
Acer rubrum,"maple, red",14,1,Street,"(40.12279070550, -88.28862462210)"
Acer saccharinum,"maple, silver",17,1,Street,"(40.12277762660, -88.28952667510)"
Acer rubrum,"maple, red",3,1,Street,"(40.12617713880, -88.29595626970)"
Tilia cordata,"linden, littleleaf",18,1,Street,"(40.15257477520, -88.27327938320)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.12277518920, -88.28976032290)"
Acer saccharinum,"maple, silver",24,1,Street,"(40.12275551310, -88.28999637740)"
Acer rubrum,"maple, red",13,1,Street,"(40.12270545210, -88.29046531010)"
Acer rubrum,"maple, red",9,1,Street,"(40.12267583310, -88.29061551430)"
vacant site large,"vacant site, large",0,0,Street,"(40.12833513570, -88.29811096580)"
vacant site large,"vacant site, large",0,0,Street,"(40.13005178570, -88.29635110930)"
vacant site large,"vacant site, large",0,0,Street,"(40.13125229440, -88.29818130780)"
vacant site large,"vacant site, large",0,0,Street,"(40.12958048880, -88.29733982890)"
Liquidambar styraciflua,"sweetgum, American",11,1,Street,"(40.12215210610, -88.29325930240)"
Quercus palustris,"oak, pin",17,1,Street,"(40.12214790290, -88.29309192070)"
Acer rubrum,"maple, red",9,1,Street,"(40.12236081740, -88.29147720050)"
Acer rubrum,"maple, red",14,1,Street,"(40.12244152950, -88.29111534810)"
Acer saccharum,"maple, sugar",12,1,Street,"(40.12244980290, -88.29106946500)"
Quercus bicolor,"oak, swamp white",14,1,Street,"(40.12258221850, -88.29037549090)"
Acer platanoides,"maple, Norway",2,1,Street,"(40.12629655170, -88.29595906510)"
Acer campestre,"maple, hedge",2,1,Street,"(40.12629899970, -88.29605937160)"
Acer saccharinum,"maple, silver",16,1,Street,"(40.12263594190, -88.28993805970)"
Quercus bicolor,"oak, swamp white",6,1,Street,"(40.12265448270, -88.28967615300)"
Quercus bicolor,"oak, swamp white",9,1,Street,"(40.12265430360, -88.28920364090)"
Acer rubrum,"maple, red",14,1,Street,"(40.12265630640, -88.28898494080)"
Acer rubrum,"maple, red",12,1,Street,"(40.12266226980, -88.28836123790)"
Quercus bicolor,"oak, swamp white",12,1,Street,"(40.12266427100, -88.28814253780)"
Castanea mollissima,"chestnut, Chinese",9,1,Street,"(40.12276146460, -88.28755657020)"
Fraxinus pennsylvanica,"ash, green",18,1,Street,"(40.15257420760, -88.27366839170)"
Acer rubrum,"maple, red",12,1,Street,"(40.12253032570, -88.29020002130)"
Quercus alba,"oak, white",15,1,Street,"(40.12239972500, -88.29015690780)"
Tilia tomentosa,"linden, silver",20,1,Street,"(40.12222975240, -88.29009490330)"
Acer rubrum,"maple, red",9,1,Street,"(40.12212608320, -88.29005717260)"
Fraxinus americana,"ash, white",13,1,Street,"(40.12061537030, -88.29087618790)"
Acer saccharinum,"maple, silver",22,1,Street,"(40.12064861800, -88.29111377520)"
Acer rubrum,"maple, red",8,1,Street,"(40.12065498070, -88.29147556470)"
Acer rubrum,"maple, red",8,1,Street,"(40.12065293340, -88.29158355340)"
Quercus bicolor,"oak, swamp white",11,1,Street,"(40.12065716780, -88.29183192180)"
Tilia cordata,"linden, littleleaf",9,1,Street,"(40.12065934090, -88.29207492780)"
Acer saccharum,"maple, sugar",9,1,Street,"(40.12066770210, -88.29227469950)"
Fraxinus americana,"ash, white",9,1,Street,"(40.12067607820, -88.29251770190)"
Quercus bicolor,"oak, swamp white",10,1,Street,"(40.12066991230, -88.29270400170)"
Tilia cordata,"linden, littleleaf",8,1,Street,"(40.12067837510, -88.29311978400)"
Acer platanoides,"maple, Norway",12,1,Street,"(40.12067427310, -88.29324397190)"
vacant site large,"vacant site, large",0,0,Street,"(40.12958055400, -88.29755043180)"
Quercus alba,"oak, white",21,1,Street,"(40.12068468360, -88.29342214500)"
Tilia cordata,"linden, littleleaf",14,1,Street,"(40.12075215840, -88.29374206330)"
Fraxinus americana,"ash, white",10,1,Street,"(40.12084756490, -88.29394450280)"
Acer saccharum,"maple, sugar",6,1,Street,"(40.12110465510, -88.29413873300)"
Acer saccharum,"maple, sugar",11,1,Street,"(40.12119994770, -88.29400641060)"
Acer saccharum,"maple, sugar",10,1,Street,"(40.12127451750, -88.29388214520)"
Acer saccharum,"maple, sugar",11,1,Street,"(40.12135323470, -88.29368500290)"
Acer platanoides,"maple, Norway",13,1,Street,"(40.12137595610, -88.29350140920)"
Acer platanoides,"maple, Norway",15,1,Street,"(40.12137587130, -88.29325571750)"
Acer platanoides,"maple, Norway",9,1,Street,"(40.12136956800, -88.29296951590)"
Fraxinus pennsylvanica,"ash, green",16,1,Street,"(40.12137145450, -88.29247813130)"
Fraxinus americana,"ash, white",16,1,Street,"(40.12142516460, -88.29198131580)"
Prunus spp.,"cherry/plum, spp.",17,1,Street,"(40.12146864020, -88.29180850760)"
Acer platanoides,"maple, Norway",16,1,Street,"(40.12150587920, -88.29162218650)"
Fraxinus pennsylvanica,"ash, green",11,1,Street,"(40.12155349150, -88.29142774180)"
Malus spp.,"crabapple, flowering",8,1,Street,"(40.12157831620, -88.29130085760)"
Liriodendron tulipifera,tuliptree,19,1,Street,"(40.12161760830, -88.29110101820)"
Ginkgo biloba,ginkgo,11,1,Street,"(40.12169625140, -88.29071489090)"
Acer rubrum,"maple, red",14,1,Street,"(40.12173764770, -88.29056636210)"
Acer platanoides,"maple, Norway",9,1,Street,"(40.12188643090, -88.28938907800)"
Liriodendron tulipifera,tuliptree,6,1,Street,"(40.12222656800, -88.28994776020)"
vacant site large,"vacant site, large",0,0,Street,"(40.12835831670, -88.29925299570)"
vacant site large,"vacant site, large",0,0,Street,"(40.12918873460, -88.30038111870)"
vacant site large,"vacant site, large",0,0,Street,"(40.12879699350, -88.30023196710)"
Acer saccharinum,"maple, silver",23,1,Street,"(40.12234681770, -88.28998548030)"
Tilia tomentosa,"linden, silver",22,1,Street,"(40.12194058560, -88.29010184470)"
Acer platanoides,"maple, Norway",17,1,Street,"(40.12183508040, -88.29059058080)"
Acer platanoides,"maple, Norway",14,1,Street,"(40.12178749140, -88.29084442090)"
Fraxinus pennsylvanica,"ash, green",27,1,Street,"(40.12176471810, -88.29094974240)"
Acer rubrum,"maple, red",9,1,Street,"(40.12167161640, -88.29136019410)"
vacant site large,"vacant site, large",0,0,Street,"(40.12834325170, -88.29955325620)"
Acer platanoides,"maple, Norway",2,1,Street,"(40.12630023130, -88.29613303730)"
Acer rubrum,"maple, red",11,1,Street,"(40.12166955160, -88.29141958930)"
Fraxinus pennsylvanica,"ash, green",14,1,Street,"(40.12160746850, -88.29167880070)"
Fraxinus pennsylvanica,"ash, green",14,1,Street,"(40.12168838250, -88.29187584920)"
Quercus bicolor,"oak, swamp white",10,1,Street,"(40.12181689640, -88.29191896680)"
Fraxinus pennsylvanica,"ash, green",9,1,Street,"(40.12165732490, -88.29200009110)"
Fraxinus pennsylvanica,"ash, green",19,1,Street,"(40.12152886020, -88.29209464120)"
vacant site large,"vacant site, large",0,0,Street,"(40.14916002070, -88.25933950890)"
Acer saccharum,"maple, sugar",18,1,Street,"(40.14879134440, -88.27514537160)"
Fraxinus pennsylvanica,"ash, green",21,1,Street,"(40.12148125540, -88.29231336490)"
Quercus bicolor,"oak, swamp white",5,1,Street,"(40.12147719420, -88.29255097820)"
Fraxinus pennsylvanica,"ash, green",22,1,Street,"(40.12147936300, -88.29278587020)"
Tilia cordata,"linden, littleleaf",12,1,Street,"(40.12148150570, -88.29302616160)"
Acer platanoides,"maple, Norway",13,1,Street,"(40.12148572950, -88.29325293540)"
Acer platanoides,"maple, Norway",9,1,Street,"(40.12144031980, -88.29379565850)"
Quercus rubra,"oak, northern red",7,1,Street,"(40.12138025720, -88.29395767610)"
Fraxinus pennsylvanica,"ash, green",18,1,Street,"(40.15057436120, -88.27492126980)"
Liquidambar styraciflua,"sweetgum, American",9,1,Street,"(40.12130363040, -88.29408734210)"
Liquidambar styraciflua,"sweetgum, American",11,1,Street,"(40.12126840150, -88.29414135660)"
Liquidambar styraciflua,"sweetgum, American",11,1,Street,"(40.12121659490, -88.29420346170)"
Liquidambar styraciflua,"sweetgum, American",11,1,Street,"(40.12116687280, -88.29426020190)"
Liquidambar styraciflua,"sweetgum, American",10,1,Street,"(40.12116487030, -88.29442758470)"
Liquidambar styraciflua,"sweetgum, American",9,1,Street,"(40.12121462790, -88.29447618680)"
Quercus bicolor,"oak, swamp white",17,1,Street,"(40.12133487230, -88.29458410680)"
Acer platanoides,"maple, Norway",12,1,Street,"(40.12148415610, -88.29468121190)"
Gleditsia triacanthos inermis,"honeylocust, thornless",19,1,Street,"(40.12159814550, -88.29471894340)"
Fraxinus pennsylvanica,"ash, green",21,1,Street,"(40.12192979150, -88.29474847080)"
vacant site large,"vacant site, large",0,0,Street,"(40.14915702730, -88.25950968120)"
vacant site large,"vacant site, large",0,0,Street,"(40.14915480430, -88.25968289330)"
vacant site large,"vacant site, large",0,0,Street,"(40.14915151980, -88.25991412930)"
vacant site large,"vacant site, large",0,0,Street,"(40.14913114530, -88.26130347710)"
vacant site large,"vacant site, large",0,0,Street,"(40.14912668670, -88.26163877590)"
vacant site large,"vacant site, large",0,0,Street,"(40.14912366760, -88.26239729560)"
Taxodium distichum,"baldcypress, common",6,1,Street,"(40.12317482750, -88.29351266040)"
Quercus rubra,"oak, northern red",10,1,Street,"(40.12306551800, -88.29335499270)"
Fraxinus pennsylvanica,"ash, green",6,1,Street,"(40.12293258880, -88.29332249440)"
vacant site large,"vacant site, large",0,0,Street,"(40.14912270480, -88.26257343950)"
vacant site large,"vacant site, large",0,0,Street,"(40.14912131800, -88.26286516430)"
vacant site large,"vacant site, large",0,0,Street,"(40.14911949340, -88.26302471080)"
vacant site large,"vacant site, large",0,0,Street,"(40.14911593320, -88.26340132550)"
vacant site large,"vacant site, large",0,0,Street,"(40.14911370010, -88.26356745450)"
Ginkgo biloba,ginkgo,4,1,Street,"(40.12325370220, -88.29329659560)"
Acer saccharum,"maple, sugar",12,2,Street,"(40.12403386080, -88.29243205320)"
vacant site large,"vacant site, large",0,0,Street,"(40.14910838060, -88.26375991510)"
vacant site large,"vacant site, large",0,0,Street,"(40.14910148580, -88.26393517070)"
vacant site large,"vacant site, large",0,0,Street,"(40.14909535570, -88.26410434420)"
vacant site large,"vacant site, large",0,0,Street,"(40.14908306970, -88.26435454820)"
vacant site large,"vacant site, large",0,0,Street,"(40.14907140070, -88.26453521010)"
vacant site large,"vacant site, large",0,0,Street,"(40.14906059350, -88.26468818340)"
Acer saccharinum,"maple, silver",17,2,Street,"(40.12433502470, -88.29173410070)"
Quercus bicolor,"oak, swamp white",15,1,Street,"(40.12489139650, -88.29058705760)"
Fraxinus americana,"ash, white",16,1,Street,"(40.12510924520, -88.29057969760)"
Fraxinus americana,"ash, white",16,1,Street,"(40.12509252200, -88.29071359260)"
Quercus rubra,"oak, northern red",16,1,Street,"(40.12495450090, -88.29072100950)"
Quercus bicolor,"oak, swamp white",7,1,Street,"(40.12475156390, -88.29074420110)"
vacant site large,"vacant site, large",0,0,Street,"(40.14904904430, -88.26484015570)"
vacant site large,"vacant site, large",0,0,Street,"(40.14903251280, -88.26501581420)"
Pinus strobus,"pine, eastern white",12,1,Street,"(40.12462755710, -88.29079044400)"
Acer platanoides,"maple, Norway",8,1,Street,"(40.12451807720, -88.29085133900)"
Fraxinus americana,"ash, white",19,1,Street,"(40.12441939020, -88.29183424710)"
Acer saccharum,"maple, sugar",12,1,Street,"(40.12413295690, -88.29250365530)"
Picea abies,"spruce, Norway",10,1,Street,"(40.12408954530, -88.29270507710)"
Fraxinus pennsylvanica,"ash, green",10,1,Street,"(40.12407672220, -88.29285191200)"
Gleditsia triacanthos inermis,"honeylocust, thornless",21,1,Street,"(40.12406873100, -88.29300088960)"
Acer platanoides,"maple, Norway",2,1,Street,"(40.12629197080, -88.29665657360)"
Acer rubrum,"maple, red",12,1,Street,"(40.12463895010, -88.29349421250)"
Acer saccharum,"maple, sugar",11,1,Street,"(40.12453943930, -88.29349205350)"
Acer rubrum,"maple, red",13,1,Street,"(40.12443647200, -88.29349658350)"
Quercus bicolor,"oak, swamp white",12,1,Street,"(40.12406342690, -88.29394046560)"
vacant site large,"vacant site, large",0,0,Street,"(40.14902094170, -88.26517787420)"
Acer campestre,"maple, hedge",2,1,Street,"(40.12629079320, -88.29675219740)"
Pyrus calleryana,"pear, Callery",8,1,Street,"(40.12448409790, -88.29478958050)"
Pyrus calleryana,"pear, Callery",10,1,Street,"(40.12454758990, -88.29478285760)"
Acer saccharinum,"maple, silver",22,1,Street,"(40.12458365470, -88.29493034500)"
Quercus rubra,"oak, northern red",4,1,Street,"(40.12417356140, -88.29492388880)"
Picea pungens,"spruce, Colorado",17,1,Street,"(40.12379094510, -88.29491291150)"
Acer saccharinum,"maple, silver",17,3,Street,"(40.12295187280, -88.29490222720)"
vacant site large,"vacant site, large",0,0,Street,"(40.14898236470, -88.26553756710)"
Acer rubrum,"maple, red",3,1,Street,"(40.12631613100, -88.29701552320)"
Tilia cordata,"linden, littleleaf",18,1,Street,"(40.15140297200, -88.27493111320)"
